1,Algeria,Africa
2,Botswana,Africa
3,Central African Republic,Africa
4,Djibouti,Africa
5,Ethiopia,Africa
6,Ghana,Africa
7,Kenya,Africa
8,Morocco,Africa
9,Namibia,Africa
10,Rwanda,Africa
11,South Africa,Africa
12,Tanzania,Africa
13,Uganda,Africa
14,Zambia,Africa
15,Bhutan,Asia
16,Cambodia,Asia
17,China,Asia
18,India,Asia
19,Indonesia,Asia
20,Israel,Asia
21,Japan,Asia
22,Malaysia,Asia
23,Mongolia,Asia
24,Nepal,Asia
25,Philippines,Asia
26,South Korea,Asia
27,Sri Lanka,Asia
28,Taiwan,Asia
29,Thailand,Asia
30,Turkey,Asia
31,Vietnam,Asia
32,United States of America,North America
33,Canada,North America
34,Argentina,South America
35,Chile,South America
36,New Zealand,Oceania
37,Australia,Oceania
38,Fiji,Oceania
39,Spain,Europe
40,France,Europe
41,Germany,Europe
42,Sweden,Europe
43,Finland,Europe
44,Iceland,Europe
45,Slovenia,Europe
46,Romania,Europe
47,Poland,Europe
48,Switzerland,Europe
49,Austria,Europe
50,Italy,Europe
51,Ireland,Europe
52,Ukraine,Europe
53,Greece,Europe