1,Mount Fentale,5,2007
2,Mount Issa,1,2236
3,Mount Mabla,4,1370
4,Ol Doinyo Orok,7,2548
5,Mount Karisimbi,10,4507
6,Mount Bisoke,10,3711
7,Mount Muhabura,10,4127
8,Mount Gahinga,10,3473
9,Mount Sabyinyo,10,3669
10,Mount Kilimanjaro,12,5895
11,Mount Rausu,22,1660
12,Dund Saikhany Nuruu,24,2825
13,Mount Everest,25,8848
14,Hallasan,27,1947
15,Mount Cook,41,3724
16,Mount Werong,42,1215
17,Uluinggalau,43,1241
18,Cradle Mountain,46,1545
19,Mouunt Pelion East,46,1461
20,Mount Pelion West,46,1560
21,Mount Oakleigh,46,1286
22,Mount Ossa,46,1617
23,Mount Remakable,53,960
24,Mount Ruapehu,60,2797
25,Mount Ngauruhoe,60,2291
26,Mount Tongariro,60,1978
27,Uluru,61,863
28,Kata Tjuta,61,1066
29,Mount Olga,61,546