1,Djebel Aissa National Park,NULL,1,94,2003
2,Nxai Pan National Park,NULL,2,2578,1992
3,Bamingui-Bangoran National Park,NULL,3,11191,1933
4,Day Forest National Park,NULL,4,15,1939
5,Awash National Park,NULL,5,850,1966
6,Mole National Park,17800,6,4840,1958
7,Amboseli National Park,120000,7,392,1974
8,Souss-Massa National Park,NULL,8,338,2005
9,Dorob National Park,NULL,9,107540,2010
10,Volcanoes National Park,NULL,10,160,1925
11,Addo Elephant National Park,305510,11,1640,1931
12,Kilimanjaro National Park,52000,12,1688,1973
13,Murchison Falls National Park,NULL,13,3893,1952
14,Kafue National Park,NULL,14,22400,1950
15,Royal Manas National Park,NULL,15,1057,1966
16,Phnom Kulen National Park,NULL,16,376,1993
17,Beijing Great Wall National Park,10000000,17,60,2017
18,Bandhavgarh National Park,108000,18,1536,1968
19,Gir National Park,60140,19,1412,1965
20,Komodo National Park,45000,20,1733,1980
21,Caesarea National Park,NULL,21,NULL,2011
22,Shiretoko National Park,NULL,22,386,1964
23,Penang National Park,1300000,23,25,2003
24,Gobi Gurvansaikhan National Park,NULL,24,27000,1993
25,Sagarmatha National Park,19000,25,1148,1976
26,Puerto Princesa Subterranean River National Park,NULL,26,222,1999
27,Hallasan National Park,NULL,27,153,1970
28,Yala National Park,157000,28,978,1938
29,Taroko National Park,NULL,29,920,1986
30,Khao Sok National Park,419000,30,739,1980
31,Goreme Historical National Park,NULL,31,100,1985
32,Cat Ba National Park,NULL,32,152,1986
33,Yosemite National Park,3300000,33,1881,1890
34,Yellowstone National Park,4860000,34,5586,1872
35,Mount Rainier National Park,2000000,35,594,1899
36,Glacier National Park of Canada,NULL,36,838,1886
37,Banff National Park,4000000,37,4126,1885
38,Los Glacieres National Park,3000000,38,4516,1937
39,Torres del Paine National Park,250000,39,1127,1959
40,Abel Tasman National Park,NULL,40,237,1942
41,Aoraki / Mount Cook National Park,NULL,41,721,1953
42,Blue Mountains National Park,8400000,42,2679,1959
43,Bouma National Heritage Park,NULL,43,435,1990
44,Coffin Bay National Park,NULL,44,309,1982
45,Coorong National Park,NULL,45,490,1967
46,Cradle Mountain-Lake St Clair National Park,209000,46,1614,1982
47,Daintree National Park,NULL,47,1200,1988
48,Fiordland National Park,NULL,48,12607,1952
49,Flinders Chase National Park,NULL,45,326,1972
50,Freycinet National Park,200000,46,169,1916
51,Great Barrier Reef Marine Park,NULL,47,343966,1975
52,Kakadu National Park,250000,49,19804,1979
53,Mount Remarkable National Park,50000,45,183,1952
54,Nambung National Park,NULL,50,193,1994
55,Port Campbell National Park,2000000,44,18,1964
56,Purnululu National Park,NULL,50,2397,1987
57,Sigatoka Sand Dunes National Park,NULL,51,2,1989
58,Sydney Harbour National Park,NULL,42,4,1975
59,Tasman National Park,NULL,46,108,1999
60,Tongariro National Park,NULL,52,796,1887
61,Uluru-Kata Tjuta National Park,400000,49,1338,1958